Event,Artist,Event__location,Description,URL,Event__start,Event__end,District,Address,PLZ,Category,Tag,
Remains in Development,Felicity Hammond,C/O Berlin,"Smiling and larger than life, the perfectly styled single woman of the future gazes out at us. Her light-drenched luxury apartment in a skyscraper towers over a futuristic urban panorama. Though by now, we’ve long grown accustomed to such oversized advertisements in public spaces, such images cleverly play on our desire for a glossy urban life. But in the work of British artist Felicity Hammond (b. 1988), the confident promises of real estate companies confront postindustrial scenes of car tires and construction debris. Clearly, when it comes to urban planning, utopia and dystopia exist in close proximity.",http://www.co-berlin.org/,12-Sep-20," Mar. 14, 2021",charlottenburg,"C/O Berlin,Hardenbergstra_e 22-24, ",10623,institution,,0_Remains in Development
"31: Women. (Exhibition Concept after Marcel Duchamp, 1943)","Antunes, 																		Azoulay, 																		Berlowitz, 																		Boschan, 																		Cole, 																		Corse, 																		Flaig, 																		Fraser, 																		Gonzalez-Foerster, 																		Günther, 																		Hafif, 																		Heimerdinger, 																		K.E., 																		Miyamoto, 																		Moorman, 																		Muholi, 																		Radenhausen, 																		Shadi, 																		Strunz, 																		Tugbiyele, 																		Valdés, 																		Zittel, 																		Albers, 																		Dadamaino, 																		Khurana, 																		Matthew_alakunnathu, 																		Okore, 																		Searle, 																		Shvily, 																		Stachon, 																		Beothy Steiner",Daimler Contemporary,,http://www.art.daimler.com/,29-Feb-20," Jun. 27, 2021",kreuzberg,"Daimler Contemporary,Alte Potsdamer Str. 5, ",10785,institution,,"0_31: Women. (Exhibition Concept after Marcel Duchamp, 1943)"
masculinities: liberation through photography,"Laurie Anderson, 																		Richard Avedon, 																		Rotimi Fani-Kayode, 																		Isaac Julien, 																		Annette Messager a.o.",Gropius Bau,film and photographic works on images of masculinity,http://www.gropiusbau.de/,"Oct. 16, 2020 "," Jan. 10, 2021",kreuzberg,"Gropius Bau,Niederkirchnerstr. 7, ",10963,institution,,0_masculinities: liberation through photography
Self Portrait as clone of Jeanne D’Arc,Bunny Rogers,Hamburger Bahnhof,,http://www.smb.museum/hbf,"Oct. 25, 2020 "," Feb. 28, 2021",tiergarten,"Hamburger Bahnhof,Invalidenstr. 50/51, ",10557,institution,,0_Self Portrait as clone of Jeanne D’Arc
The Horse with Eye Blinders,Xinyi  Cheng,Hamburger Bahnhof,,http://www.smb.museum/hbf,"Dec. 10, 2020 "," May  9, 2021",tiergarten,"Hamburger Bahnhof,Invalidenstr. 50/51, ",10557,institution,,0_The Horse with Eye Blinders
Zeit für Fragmente,"Joseph Beuys, 																		Anish Kapoor, 																		Cy Twombly, 																		Andy Warhol",Hamburger Bahnhof,,http://www.smb.museum/hbf,9-Nov-19," Feb. 28, 2021",tiergarten,"Hamburger Bahnhof,Invalidenstr. 50/51, ",10557,institution,,0_Zeit für Fragmente
Retrospektive. Fotografien 1965 _ 2014,Michael Schmidt,Hamburger Bahnhof,,http://www.smb.museum/hbf,23-Aug-20," Jan. 17, 2021",tiergarten,"Hamburger Bahnhof,Invalidenstr. 50/51, ",10557,institution,,0_Retrospektive. Fotografien 1965 _ 2014
It Wasn‘t Us,Katharina Grosse,Hamburger Bahnhof,,http://www.smb.museum/hbf,14-Jun-20," Jan. 10, 2021",tiergarten,"Hamburger Bahnhof,Invalidenstr. 50/51, ",10557,institution,,0_It Wasn‘t Us
Magical Soup,"Nevin Aladag, 																		Korakrit Arunanondchai, 																		Trisha Baga, 																		Dineo Seshee Bopape, 																		Stan Douglas, 																		Cyprien Gaillard, 																		Jochen Gerz, 																		Douglas Gordon, 																		Rodney Graham, 																		Anne Imhof, 																		Christine Sun Kim, 																		Sandra Mujinga, 																		Nam June Paik, 																		Charlemagne Palestine, 																		Pipilotti Rist, 																		Ulrike Rosenbach, 																		Keiichi Tanaami, 																		Diana Thater, 																		Sung Tieu, 																		Lawrence Weiner, 																		Nicole Wermers, 																		David Zink Yi",Hamburger Bahnhof,,http://www.smb.museum/hbf,6-Sep-20," Feb.  7, 2021",tiergarten,"Hamburger Bahnhof,Invalidenstr. 50/51, ",10557,institution,,0_Magical Soup
Lob der Malkunst,Margret Eicher,Haus am Lützowplatz,"Die Ausstellung  Margret Eicher. Lob der Malkunst“ ist eine Kooperation mit dem useum Villa Stuck n München und die Fortsetzung des Projektes in der Wahlheimatstadt der Künstlerin(geboren 1955 in Viersen). Margret Eicher ruft bei ihren digitalen Tapisserien den Nimbus einer Kunstform auf, die sich vor allem im Kontext h fischer Repr sentation entfaltet hat. Die sogenannte Bildwirkerei, auf die sich Margret Eichers künstlerische Praxis seit 2000 bezieht, ist in Europa seit dem Hochmittelalter nachweisbar.",http://www.hal-berlin.de/,5-Feb-21," Mar. 14, 2021",kreuzberg,"Haus am Lützowplatz,Lützowplatz 9, ",10785,institution,,0_Lob der Malkunst
Kunst kann,"Arno Oehri, Martin Wohlwend, Künstlertrio Katrin Hilbe, Christiani Wetter und Nicolas Biedermann, 																		 Ilona Kálnoky, Marco Schmitt, Nicole Wendel, Sung Min Kim, Clemens Salesny, Maria Seisenbacher, Arnold Mario Dall’O, Cornelia Lochmann, Peter Senoner",Haus am Lützowplatz,"In Zusammenarbeit mit vier Partnern und zw lf Künstlerpositionen aus der bildenden und darstellenden Kunst, Musik und Literatur aus Liechtenstein, Deutschland,  sterreich und Italien ist diese Ausstellung im Sinne einer Vermittlungs- und Lernplattform entwickelt worden. Sie visualisiert und vermittelt künstlerische Denk- und Arbeitshaltungen.online tour ttps://visit-hal.as.me/schedule.php",http://www.hal-berlin.de/,"Dec.  4, 2020 "," Jan. 31, 2021",kreuzberg,"Haus am Lützowplatz,Lützowplatz 9, ",10785,institution,,0_Kunst kann
Scars and Annual Rings,"Tao Hui, 																		Tasja  Keetman, 																		Andre Joosep  Arming",Haus am Lützowplatz," Es ist unvermeidlich, neben Freude und Erfolg auch Trauer und Verlust zu empfinden, andere zu verletzen und in unserem Leben verletzt zu werden. Unsere K rper k nnen Narben tragen, ebenso unsere Herzen. Wie k nnen wir unser Leben überdenken und weiterhin mit diesen Narben lieben? Wie schaffen wir Kunst und zeichnen Jahresringe unseres Lebens mit diesen Narben auf?“ (Huang Mei)Die drei eingeladenen Künstler*innen aus hina, aus den SA/Deutschland nd aus stland mrei en diesen Gedankenkomplex mit Installationen, Papierarbeiten, Fotografien und Videos.",http://www.hal-berlin.de/,"Dec.  4, 2020 "," Jan. 31, 2021",kreuzberg,"Haus am Lützowplatz,Lützowplatz 9, ",10785,institution,,0_Scars and Annual Rings
Into Space,"Bj_rn Dahlem, 																		Berta Fischer, 																		Naum Gabo",Haus am Waldsee,,http://www.hausamwaldsee.de/,"Oct. 18, 2020 "," Mar. 21, 2021",nikolassee,"Haus am Waldsee,Argentinische Allee 30, ",14163,institution,,0_Into Space
"Education Shock. Learning, Politics and Architecture in the 1960s and 1970s",,Haus der Kulturen der Welt,"Education Shock evisits the 1960s and 1970s, when the rethinking and replanning of learning environments   due to the Cold War and the social movements culminating in 1968   permanently changed the educational sphere.",http://www.hkw.de/,29-Jan-21," May  2, 2021",tiergarten,"Haus der Kulturen der Welt,John-Foster-Dulles-Allee 10, ",10557,institution,,"0_Education Shock. Learning, Politics and Architecture in the 1960s and 1970s"
Passage,Ann Oren,KINDL _ Zentrum für zeitgen_ssische Kunst,,http://www.kindl-berlin.de/,13-Sep-20," Feb. 21, 2021",neuk_lln,"KINDL _ Zentrum für zeitgen_ssische Kunst,Am Sudhaus 3, ",12053,institution,,0_Passage
The Invented History,"Yael Bartana, 																		Ramesch Daha, 																		Anna Dasovi_, 																		Jean-Ulrick Désert, 																		Andrew Gilbert, 																		Aslan _oisum, 																		Maryam Jafri, 																		Nadia Kaabi-Linke, 																		Zartosht Rahimi, 																		Larissa Sansour / S_ren Lind, 																		Maja Weyermann, 																		Akram Zaatari",KINDL _ Zentrum für zeitgen_ssische Kunst,,http://www.kindl-berlin.de/,13-Sep-20," Feb. 21, 2021",neuk_lln,"KINDL _ Zentrum für zeitgen_ssische Kunst,Am Sudhaus 3, ",12053,institution,,0_The Invented History
Schizo Sonics,Nik Nowak,KINDL _ Zentrum für zeitgen_ssische Kunst,,http://www.kindl-berlin.de/,13-Sep-20," May 16, 2021",neuk_lln,"KINDL _ Zentrum für zeitgen_ssische Kunst,Am Sudhaus 3, ",12053,institution,,0_Schizo Sonics
