Event,Artist,Event__location,Description,URL,Event__start,Event__end,District,Address,PLZ,Category,Tag,
Sun Rise I Sun Set,"Max Ernst, 																		Pierre Huyghe, 																		Pamela  Rosenkranz, 																		Dora  Budor, 																		Henri  Rousseau, 																		Monira Al Qadiri, 																		Jean  Painlevé, 																		Neri  Oxman, 																		Precious  Okoyomon, 																		Max Hooper Schneider, 																		Rachel  Rose, 																		Karrabing Film Collective, 																		Anj  Smith, 																		Joan  Fontcuberta, 																		Karl  Blossfeldt, 																		Emma  Kunz, 																		Torbj_rn  R_dland, 																		Ryūichi Sakamoto",Schinkel Pavillon,"Sun Rise | Sun Set rings together contemporary and 20th century artists to form a multi-layered response to the fast unfolding ecocatastrophe. The selected works permeate one another, creating small organisms and turning Schinkel Pavillon into a surreal landscape, highlighting the interconnectivity between humans, animals, plants, inanimate objects, technologies and non-beings.",,26-Feb-21," Jul. 25, 2021",mitte,"Schinkel Pavillon,Oberwallstr. 1, ",10117,institution,,0_Sun Rise I Sun Set
BERLINER PENTHOUSE ALL INCLUSIVE SILVESTERPARTY 2020/2021,,KARLSSON Penthouse," ALL INCLUSIVE PENTHOUSE SILVESTERPARTY TICKET AB 49,99Der Eintrittspreis betr gt 29,00  . Der Gesamtpreis setz sich aus Cateringpauschale und Eintrittspreis zusammen. Sein Sie bei DER Silvesterparty über den D chern Berlins mit dabei und sichern Sie sich neben einer ausgelassenen Partystimmung auch einen der besten Ausblicke über den Gendarmenmarkt bis hin zum perfekten Feuerwerk. Die absolut private Location bietet ein erstklassiges Ambiente mit dem sch nsten Ausblick auf über die D cher Berlins. Sicher dir dein Ticket für die Silvesterparty in Berlin und genie e den Luxus und Vorteil unserer All-Inclusive Silvesternacht. Du hast Fragen zu der Veranstaltung oder m chtest uns dein Feedback geben ? Bitte habe Verst ndnis, dass wir zwischen dem 31.12.2020 ab 18:00 Uhr bis zum 03.01.2020 um 10:00 Uhr keine Anfragen beantworten. Im Anschluss melden wir uns aber umgehend auf deine Nachricht zurück.Was du mit dem Ticket machen musst? Bring dieses Ticket ausgedruckt oder auf dem Handy einfach zur Veranstaltung mit und zeige es am Einlass vor. Nachdem es gescannt wurde bekommst du dein B ndchen und somit den exklusiven Einlass zum Private Penthouse Berlin.Hier nochmal das Wichtigste auf einen Blick:+ DIE GETR NKE SIND ALLE INKLUSIVE (Bier, Wein, Prosecco, Longdrinks, Softgetr nke)+ Einlass ab 22:00 Uhr+ Live-DJ: Clubhits, Mix aus RnB / Black Music, House und all-time favorites.+ Party bis in die Morgenstunden+ Ganz Berlin im  berblick zur Silvesternacht+ Eine exklusive Location im Berliner Karlsson Penthouse am Gendarmenmarkt+ Garderobe für 2  vorhanden im Penthouse am Gendarmenmarkt Einlass ab 18 Jahren.",http://www.schinkelpavillon.de/,"  31.12.2020, 22:00 Uhr ","01.01.2021, 05:00 Uhr",mitte,"KARLSSON Penthouse,Taubenstra_e 30, ",10117,party,,0_BERLINER PENTHOUSE ALL INCLUSIVE SILVESTERPARTY 2020/2021
Silvester an der Spree 2020/2021,,Spreespeicher," Die Silvesterparty im Spreespeicher wird auch in 2020 wieder ein einzigartiges Erlebnis. Auf insgesamt drei Dancefloors, mit riesiger Spreeterrasse, H henfeuerwerk über der Spree und einzigartigen Blick auf die Oberbaumbrücke. Ab 21.00 Uhr k nnt ihr diese exklusive Location hautnah erleben. Nach einem Begrü ungtrunk auf der Spreeterrasse geht die Party auch gleich los!Partymusik von A bis Z auf 3 FloorsFür den musikalischen Silvesterpartyspa  sorgen unsere Silvester-DJs mit Musik auf drei Dancefloors. Hier ist für jeden etwas dabei: House, RnB, Clubsound, Disco Classics, 90er, 2000er, das Beste von heute, sowie Schlager- und Partyhits!Getr nke und Speisen inklusiveAlle Getr nke (inkl. Bier und Longdrinks) sind den ganzen Abend inklusive, sowie 2 Speisen nach Wahl. Ihr k nnt zwischen Berliner Currywurst, Backkartoffel mit Quark, Pizza-Ecken und Pulled Pork Burger w hlen! Zus tzlich gibt es um 24 Uhr den traditionellen Berliner Pfannkuchen.Sichert euch eure Tickets noch heute für einen festen Platz bei einer der sch nsten Silvester Locations in Berlin!Party auf 3 DancefloorsClub-Floor: House, RnB, ClubsoundsDisco-Floor: 90er, 2000er, Disco ClassicsSchlager-Floor: Schlager, PartyhitsSpecials:+ Mitternachtssekt+ Riesen-Feuerwerk über der Spree+ Warmer Glühwein auf der Spreeterrasse+ Gro zügige Open-Air-Spreeterrasse+ Alle Getr nke inklusive (die ganze Nacht!)+ 2 Speisen inklusive (weitere Speisen gegen Bezahlung)Getr nke- und Speisenauswahlunsere komplette Getr nkekarteBerliner CurrywurstBackkartoffel mit QuarkPizza Ecken (Salami und Vegetarisch)Pulled Pork BurgerBerliner Pfannkuchen um 24.00 UhrHINWEIS ZU FILM- UND FOTOAUFNAHMENBei den Veranstaltung ""Silvester an der Spree"" werden Foto- und Filmaufnahmen angefertigt, die in verschiedenen Medien ver ffentlicht werden. Eine Darstellung der Bilder erfolgt auf unserer Homepage, Printmedien und Social-Media-Kan len. Mit dem Betreten des Veranstaltungsgel ndes erfolgt die Einwilligung der anwesenden Personen zu unentgeltlichen Ver ffentlichung wie oben beschrieben   und zwar ohne dass es einer ausdrücklichen Erkl rung der betreffenden Personen bedarf. Sollte die betreffende Person mit einer Ver ffentlichung einer fotografischen Darstellung ihrer Person nicht einverstanden sein, bitten wir um umgehende Benachrichtigung entweder an der Akkreditierungsstelle, per Mail oder Telefon. Das Gleiche gilt auch für Filmaufnahmen.",,"  31.12.2020, 21:00 Uhr ","01.01.2021, 05:00 Uhr",friedrichshain,"Spreespeicher,Stralauer Allee 2, ",10245,party,,0_Silvester an der Spree 2020/2021
2021- YOU ARE MORE THAN WELCOME! Silvester im DogTap Berlin,,BrewDog Berlin,Verabschiedet mit uns dieses verrückte Jahr 2020 und lasst uns gemeinsam in ein wunderbares 2021 starten!,,"  31.12.2020, 18:00 Uhr","01.01.2021, 02:00 Uhr",buckow,"BrewDog Berlin,Im Marienpark 23, ",12107,party,,0_2021- YOU ARE MORE THAN WELCOME! Silvester im DogTap Berlin
_30 Socialmatch - Dating-Event in Berlin,,Rückerstattungen bis zu 7 Tage vor dem Event,"1 Bar, 10 Teilnehmer, 1 Spiel. Die Alternative zu Speed-Dating, Single Party oder After Work Event in Berlin.",,,,,"Rückerstattungen bis zu 7 Tage vor dem Event,",,party,,0__30 Socialmatch - Dating-Event in Berlin
PubCrawl Berlin Super-Premium Tour,,,Ziehe mit unseren szenekundigen Guides in einer Nacht durch bis zu 5 Locations des pulsierenden Nachtlebens der Stadt.,,,,,,,party,,0_PubCrawl Berlin Super-Premium Tour
Berlins gr__tes Online Speed Dating Event (25-39 Jahre),,Location ausstehend,Lerne bei Berlins gr  tem Speed Dating Event bis zu 15 Personen bei einzigartigen Dates kennen.,,"  7. Januar 2021,19:30 Uhr ", 21:30 Uhr  ,,"Location ausstehend,  Berlin",,party,,0_Berlins gr__tes Online Speed Dating Event (25-39 Jahre)
_20 Socialmatch - Dating-Event in Berlin,,Rückerstattungen bis zu 7 Tage vor dem Event,"1 Bar, 10 Teilnehmer, 1 Spiel. Die Alternative zu Speed-Dating, Single Party oder After Work Event in Berlin.Bei Socialmatch lernen sich bi",,,,,"Rückerstattungen bis zu 7 Tage vor dem Event,",,party,,0__20 Socialmatch - Dating-Event in Berlin
Berlins gr__tes Online Speed Dating Event (35-49 Jahre),,Location ausstehend,Lerne bei Berlins gr  tem Speed Dating Event bis zu 15 Personen bei einzigartigen Dates kennen.,,"  12. Januar 2021,19:30 Uhr ", 21:30 Uhr  ,,"Location ausstehend,  Berlin",,party,,0_Berlins gr__tes Online Speed Dating Event (35-49 Jahre)
BiggestEventEverOnlyForYou(also cause you'll be only You/Me or not even),,,Online party,,,,,,,party,,0_BiggestEventEverOnlyForYou(also cause you'll be only You/Me or not even)
OFFICIAL Erasmus & International Party,,Traffic Club,"The legendary Official Erasmus P.A.R.T.Y. on Saturday, January the 16th     Biggest International Meetup in Town    Best Music All Over",,"Jan 16, 2021, 11:00 PM ","Jan 17, 2021, 7:00 AM  ",mitte,"Traffic Club,Alexanderstr. 7, (Alexanderplatz) (Entry on Otto Braun Stra_e), ",10178,party,,0_OFFICIAL Erasmus & International Party
Berlins gr__tes Online Speed Dating Event (20-35 Jahre),,Location ausstehend,Lerne bei Berlins gr  tem Speed Dating Event bis zu 15 Personen bei einzigartigen Dates kennen.,,"  15. Januar 2021,19:30 Uhr ", 21:30 Uhr  ,,"Location ausstehend,  Berlin",,party,,0_Berlins gr__tes Online Speed Dating Event (20-35 Jahre)
Berlins gr__tes Online Speed Dating Event (30-45 Jahre),,Location ausstehend,Lerne bei Berlins gr  tem Speed Dating Event bis zu 15 Personen bei einzigartigen Dates kennen.,,"  19. Januar 2021,19:30 Uhr ", 21:30 Uhr  ,,"Location ausstehend,  Berlin",,party,,0_Berlins gr__tes Online Speed Dating Event (30-45 Jahre)
Berlins gr__tes Online Speed Dating Event (40-55 Jahre),,Location ausstehend,Lerne bei Berlins gr  tem Speed Dating Event bis zu 15 Personen bei einzigartigen Dates kennen.,,"  22. Januar 2021,19:30 Uhr ", 21:30 Uhr  ,,"Location ausstehend,  Berlin",,party,,0_Berlins gr__tes Online Speed Dating Event (40-55 Jahre)
"Berlin Tekk w/ Die Gebrüder Brett, Kopf & H_rer, Leigh Johnson",,Der Wei_e Hase,"Berlin Tekk w/ Die Gebrüder Brett, Kopf & H rer, Leigh Johnson",," 06.02.2021, 23:00 Uhr ","07.02.2021, 11:00 Uhr  ",friedrichshain,"Der Wei_e Hase,Revaler Stra_e 99, ",10245,party,,"0_Berlin Tekk w/ Die Gebrüder Brett, Kopf & H_rer, Leigh Johnson"
Après-Ski Party@AmanoChalet,,AMANO Chalet,Lust auf Alm-Feeling und Ho henluft mitten in der Hauptstadt? Wir laden euch voraussichtlich am 04. Februar um 19 Uhr ein zur Après-Ski Part,,"  February 4, 2021,7:00 PM ", 11:30 PM  ,tiergarten,"AMANO Chalet,Heidestrasse 62, ",10557,party,,0_Après-Ski Party@AmanoChalet
Berlins gr__tes Speed Dating Event (50-65 Jahre),,Location ausstehend,Lerne bei Berlins gr  tem Speed Dating Event bis zu 15 Personen bei einzigartigen Dates kennen.,," 7. Februar 2021,19:30 Uhr ", 21:30 Uhr  ,,"Location ausstehend,  Berlin",,party,,0_Berlins gr__tes Speed Dating Event (50-65 Jahre)
Berlin Tekk w/ Die Gebrüder Brett,,ASeven Club & Eventlocation,Berlin Tekk w/ Die Gebrüder Brett,,"  19.02.2021, 19:00 Uhr ","Sa., 20.02.2021, 04:00 Uhr  ",mitte,"ASeven Club & Eventlocation,Alexanderstra_e 7, ",10178,party,,0_Berlin Tekk w/ Die Gebrüder Brett
11.Berlinale WarmUp 2020@The Grand Club,,The Grand Club,Mit dem 11.Berlinale WarmUp am 10. Februar 2021 ab 19 Uhr im  The Grand Club“ geben wir den Startschuss für den 10 Tage Event - Marathon in,,"Feb 10, 2021, 7:00 PM ","  11, 2021, 2:00 AM  ",mitte,"The Grand Club,Hirtenstra_e 4, ",10178,party,,0_11.Berlinale WarmUp 2020@The Grand Club
_40 Socialmatch - Dating-Event in Berlin,,Rückerstattungen bis zu 7 Tage vor dem Event,"1 Bar, 10 Teilnehmer, 1 Spiel. Die Alternative zu Speed Dating, Single Party oder After Work Event in Berlin.",,,,,"Rückerstattungen bis zu 7 Tage vor dem Event,",,party,,0__40 Socialmatch - Dating-Event in Berlin
"GIN-TASTING ""So schmeckt die Hauptstadt""",,HENRI Hotel Berlin,Gin-Tasting mit Gin aus Berlin und seinem Umland,,"  12. Februar 2021,19:00 Uhr ", 21:00 Uhr  ,charlottenburg,"HENRI Hotel Berlin,Meinickestr. 9, ",10719,party,,"0_GIN-TASTING ""So schmeckt die Hauptstadt"""
Sinfoniekonzert,,Komische Oper Berlin,Produktion: Hauptbild Produktion: Titel Produktion: Zusatzinformationen ,https://www.komische-oper-berlin.de/programm/a-z/sinfoniekonzerte-20-21/,1. Jan. 19:00,,mitte,"Komische Oper Berlin,Behrenstra_e 55, ",10117,theater,Konzert,0_Sinfoniekonzert
Ilgen-Nur: Neujahrskonzert,,Volksbühne Berlin,"Die gerade einmal 24-j hrige Ilgen-Nur Borali geh rt zu einer Generation junger Musikerinnen, die sich mit Selbstverst ndlichkeit aus der Werkzeugkiste des Indie-Rock bedienen, um ihre eigene musikalische Vision selbstbewusst zusammenzubauen. Genau wie Max Rieger, Produzent ihrer 2019 erschienenen Debut-Platte Power Nap und Mastermind der  Nerven“, kommt Ilgen-Nur aus Stuttgart. Nach ihrer Zeit in Hamburg lebt sie inzwischen in Berlin. So wie unser Neujahrskonzert schon immer ein besonderes Ereignis war, so ist dies auch die l ssige Musik von Ilgen-Nur. ", http://www.volksbuehne.berlin/de/programm/11369/ilgen-nur-neujahrskonzert,1. Jan. 19:00,,#N/A,Volksbühne Berlin,,theater,Konzert,0_Ilgen-Nur: Neujahrskonzert
Panikherz,,Berliner Ensemble,"von Benjamin von Stuckrad-Barre   Hier geht's direkt zum ""Panikherz""-Livestream!", https://www.berliner-ensemble.de/inszenierung/panikherz,1. Jan. 19:30,,#N/A,Berliner Ensemble,,theater,Schauspiel,0_Panikherz
Ilgen-Nur: Neujahrskonzert,,Volksbühne Berlin,"Die gerade einmal 24-j hrige Ilgen-Nur Borali geh rt zu einer Generation junger Musikerinnen, die sich mit Selbstverst ndlichkeit aus der Werkzeugkiste des Indie-Rock bedienen, um ihre eigene musikalische Vision selbstbewusst zusammenzubauen. Genau wie Max Rieger, Produzent ihrer 2019 erschienenen Debut-Platte Power Nap und Mastermind der  Nerven“, kommt Ilgen-Nur aus Stuttgart. Nach ihrer Zeit in Hamburg lebt sie inzwischen in Berlin. So wie unser Neujahrskonzert schon immer ein besonderes Ereignis war, so ist dies auch die l ssige Musik von Ilgen-Nur. ", http://www.volksbuehne.berlin/de/programm/11369/ilgen-nur-neujahrskonzert,1. Jan. 21:00,,#N/A,Volksbühne Berlin,,theater,Konzert,0_Ilgen-Nur: Neujahrskonzert
Stream: Und sicher ist mit mir die Welt verschwunden,,Maxim Gorki Theater,"Von Sibylle Berg  Ich habe eine Wut auf die Welt oder das System oder mich, weil ich alles verraten habe, woran ich nicht geglaubt habe, oder haben wir wirklich einmal daran geglaubt, die Welt zu retten? Die lagen doch nur dekorativ herum, die Bücher, die feministischen, marxistischen, queeren, die lagen herum, mit ihren  berschriften, über die wir nicht hinausgekommen sind, w hrend wir lieber Serien geschaut haben.  ",https://dringeblieben.de/videos/und-sicher-ist-mit-mir-die-welt-verschwunden,1. Jan. 19:30,,online,Maxim Gorki Theater,,theater,Digitales Event,0_Stream: Und sicher ist mit mir die Welt verschwunden
Taylor Mac: Holiday Sauce... Pandemic!,,Berliner Festspiele," Holiday Sauce Pandemic!“ mischt Musik, Film, Varieté und weitere künstlerische Elemente, um beliebten Songs und unbeliebten Ferientagen einen neuen Rahmen zu geben. Für Taylor Mac besteht diese Jahreszeit aus mehr als grenzenlosem Kapitalismus und Geschenke verteilen; Kreativit t und Fantasie sind als eigene Spiritualit t zu begreifen. Weihnachten 2020 wird für viele Menschen bitter und sch n zugleich sein. Taylor Mac erinnert an die kollektive Macht unserer Wahlfamilien: eine besonders kraftvolle Botschaft in diesem Jahr voller Verluste.", https://www.berlinerfestspiele.de/en/berliner-festspiele/on-demand/2020/taylor-mac-holiday-sauce.html,1. Jan. ,,online,Berliner Festspiele,,theater,Digitales Event,0_Taylor Mac: Holiday Sauce... Pandemic!
Der Menschenfeind [Stream],,Berliner Festspiele,Inszenierung des Deutschen Theaters BerlinAufzeichnung von 3sat im Rahmen des Theatertreffens 2020 Deutsch von Jürgen Gosch und Wolfgang Wiens, https://www.berlinerfestspiele.de/de/berliner-festspiele/on-demand/2020/theatertreffen/starke-stuecke.html,1. Jan. ,,online,Berliner Festspiele,,theater,Digitales Event,0_Der Menschenfeind [Stream]
Komplex!,,Theater der Dinge 2020,Lecture Performance mit Figurentheater   in Deutsch Wir zeigen  Komplex!  als Live-Stream mit anschlie endem Künstler*innen-Gespr ch.Sie erhalten den Zugangslink am Tag der Veranstaltung per E-Mail. Für die Teilnahme muss die Software Zoom heruntergeladen und deren Datenschutzerkl rung zugestimmt werden., https://schaubude.berlin/de/inszenierungen/komplex-ausser-m-weiss-niemand-dass-barbie-feministin-ist,1. Jan. ,,online,Theater der Dinge 2020,,theater,Digitales Event,0_Komplex!
Spookai,,Theaterdiscounter,"SPOOKAI ist ein begehbares Spukhaus und spielt in fantastischen Bildern, Geschichten und R umen mit der Idee von Geistern in Gegenst nden und Technik. Eine ungew hnliche Gruselunterhaltung mit Spuk und Gespenstern hinter jeder Ecke. Auf einer Tour durch Installationen und Performances begegnen Menschen ab acht Jahren Geistern und D monen. Mit Trickfilm, Robotik, Sound und Theatertechnik entstehen Momente, die das Publikum gruseln, überraschen und verwirren.", http://www.theaterdiscounter.de,2. Jan. 13:00,,mitte,"Theaterdiscounter, Klosterstra_e 44, ",10179,theater,Performance,0_Spookai
Spookai,,Theaterdiscounter,"SPOOKAI ist ein begehbares Spukhaus und spielt in fantastischen Bildern, Geschichten und R umen mit der Idee von Geistern in Gegenst nden und Technik. Eine ungew hnliche Gruselunterhaltung mit Spuk und Gespenstern hinter jeder Ecke. Auf einer Tour durch Installationen und Performances begegnen Menschen ab acht Jahren Geistern und D monen. Mit Trickfilm, Robotik, Sound und Theatertechnik entstehen Momente, die das Publikum gruseln, überraschen und verwirren.", http://www.theaterdiscounter.de,2. Jan. 14:00,,mitte,"Theaterdiscounter, Klosterstra_e 44, ",10179,theater,Performance,0_Spookai
Die drei R_uber,,ATZE Musiktheater,"Aller b sen Dinge sind drei: Drei weite schwarze M ntel und drei hohe schwarze Hüte k nnen Einem durchaus einen Schauer über den Rücken jagen. Erst recht, wenn M ntel und Hüte mit Donnerbüchse, einem Blasebalg mit Pfeffer und einem riesigen roten Beil bewaffnet sind und drei finstere Gesellen darunter hervorblicken. Die drei R uber versetzen ihre Umgebung in Angst und Schrecken und h ufen bei ihren gefürchteten  berf llen riesige Sch tze an. Bis eines Nachts das kleine Waisenkind Tiffany in ihr Leben tritt und die R uber pl tzlich mit Fragen nach Sinn und Nutzen ihres Reichtums konfrontiert. Das Waisenm dchen Tiffany vermag es tats chlich, die drei rohen Holzkl tze in handzahme, friedliche Menschen zu verwandeln, die für den Rest ihres Lebens gute Taten vollbringen. Diese Ver nderung spiegelt sich auch im musikalischen Konzept wider: die v llig unmusikalischen R uber machen mit Leib und Seele grobe Musik, schlagen aber zum Ende hin fast zarte T ne an. Regie führt Kay Dietrich, der zuletzt mit seinem Team für  Frau Holle“ mit dem IKARUS 2012 als herausragende Berliner Theaterinszenierung ausgezeichnet wurde.", www.atzeberlin.de/3raeuber,2. Jan. 15:00,,#N/A,ATZE Musiktheater,,theater,Schauspiel,0_Die drei R_uber
Spookai,,Theaterdiscounter,"SPOOKAI ist ein begehbares Spukhaus und spielt in fantastischen Bildern, Geschichten und R umen mit der Idee von Geistern in Gegenst nden und Technik. Eine ungew hnliche Gruselunterhaltung mit Spuk und Gespenstern hinter jeder Ecke. Auf einer Tour durch Installationen und Performances begegnen Menschen ab acht Jahren Geistern und D monen. Mit Trickfilm, Robotik, Sound und Theatertechnik entstehen Momente, die das Publikum gruseln, überraschen und verwirren.", http://www.theaterdiscounter.de,2. Jan. 15:00,,mitte,"Theaterdiscounter, Klosterstra_e 44, ",10179,theater,Performance,0_Spookai
Berlin Berlin,,Admiralspalast,"Willkommen im Berlin der 20er Jahre! Hier atmet die Freiheit, das Leben und die Lust! Treten Sie ein und werden Sie Teil dieser rastlosen Welt. Paillettenkleider glitzern im Abendlicht, hei e Melodien treiben zu immer zügelloseren T nzen an und alle Grenzen verschwimmen im sündigen Dickicht der Nacht. Die brandneue Show BERLIN BERLIN führt Sie in den brodelnden Kosmos der  Roaring Twenties“ und zeigt, was die Hauptstadt des Lasters heute wie damals in Ekstase versetzt. Gro e Stars wie die Stilikone Marlene Dietrich, die legend ren Entertainer der Comedian Harmonists und die Skandalt nzerin Josephine Baker laden Sie ein zum hei en Tanz auf dem Vulkan. So verführerisch wie diese Weltpremiere ist keine andere Show.Die Nacht ist eine Sünde wert BERLIN BERLIN wirft sich mit Haut und Haaren in den wilden Strudel einer schwindelerregenden Zeit. Frei nach dem Motto:  Es geht doch nichts über einen kleinen Skandal!“ erz hlt ein charismatischer Conférencier zusammen mit dem 30-k pfigen Ensemble vom gierigen Tanz auf Messers Schneide zwischen Weltwirtschaftskrise und ungebremster Vergnügungslust. Die Funken sprühen, wenn die Revuegirls zu Charleston und Lindy Hop ihre endlos langen Beine schwingen und Erfolgsnummern wie  Puttin’ on the Ritz“,  Ich bin von Kopf bis Fu  auf Liebe eingestellt“,  Mackie Messer“ und  Bei mir bist du sch n“ den ganzen Saal elektrisieren. Kommen Sie mit auf eine verführerisch-funkelnde Zeitreise und erleben Sie das prickelnde Lebensgefühl der goldenen 20er Jahre hautnah!",,2. Jan. 15:00,,mitte,"Admiralspalast, Friedrichstra_e 101, ",10117,theater,Musiktheater,0_Berlin Berlin
Frank Lüdecke Das Falsche muss nicht immer richtig sein! - Neues Programm,,Die Wühlm_use,"Das Falsche muss nicht immer richtig sein! - Neues ProgrammFür dieses Programm mussten aufgrund der beh rdlichen Anordnungen (COVID-19) ein oder mehrere Termine verlegt werden. Bitte beachten Sie hierzu die Hinweise in der Spielpan-Tagesübersicht. Frank Lüdecke ist einer der führenden politischen Kabarettisten in Deutschland. Er war lange Zeit Mitglied im  Scheibenwischer“ (ARD), im  Satiregipfel ""(ARD) und ist heute in der  Anstalt (ZDF) zu sehen, sowie in allen Satiresendungen der dritten Programme, wie  Mitternachtsspitzen“ (WDR) oder  Schlachthof“ (BR). Lüdecke hat den Deutschen Kleinkunstpreis erhalten, den Deutschen Kabarett-Preis, den Bayerischen Kabarettpreis, den Salzburger Stier und viele andere Auszeichnungen. Er war jahrelang Hauptautor und Mitspieler für Dieter Hallervorden, hat das Kabarett DISTEL in Berlin geleitet und ist aktuell seit August 2019 neuer Betreiber und Künstlerischer Leiter der legend ren Berliner  Stachelschweine“, dem  ltesten Kabarett Berlins.In seinem brandaktuellen Programm st bert er die versteckten Zusammenh nge zwischen Klimaforschung, E-Scootern, Negativzinsen und Grundeinkommen auf. Welche Rolle spielt in diesem Zusammenhang die Demokratie und wer ist Anja Karliczek? Lüdecke macht politisches Kabarett in einer Zeit, in der man sich fragt, was Politik heute überhaupt noch ausmacht. Dafür nimmt er auch kleinere Anleihen bei der Philosophie. Lüdecke ist m glicherweise etwas subtiler, dafür aber unterhaltsam. Musik gibt es auch.", http://wuehlmaeuse.de/index.php,2. Jan. 15:30,,charlottenburg,"Die Wühlm_use, Pommernallee 2-4, ",14052,theater,Comedy & Kabarett,0_Frank Lüdecke Das Falsche muss nicht immer richtig sein! - Neues Programm
VIVID Grand Show | verl_ngert bis Sommer 2021,,Friedrichstadt-Palast Berlin,"Die VIVID Grand Show kehrt zurück - am 2. Januar 2021 Der Senator für Kultur und Europa Dr. Klaus Lederer und Finanzsenator Dr. Matthias Kollatz haben, vorbehaltlich der Zustimmung des Abgeordnetenhauses, entschieden, dass eine für das Jahr 2022 für den Friedrichstadt-Palast geplante Sanierungsma nahme an der Lüftungsanlage vorgezogen wird, um die aktuelle Schlie ung des Hauses sinnvoll zu nutzen.", https://www.palast.berlin/,2. Jan. 15:30,,mitte,"Friedrichstadt-Palast Berlin, Friedrichstra_e 107, ",10117,theater,Entertainment,0_VIVID Grand Show | verl_ngert bis Sommer 2021
Spookai,,Theaterdiscounter,"SPOOKAI ist ein begehbares Spukhaus und spielt in fantastischen Bildern, Geschichten und R umen mit der Idee von Geistern in Gegenst nden und Technik. Eine ungew hnliche Gruselunterhaltung mit Spuk und Gespenstern hinter jeder Ecke. Auf einer Tour durch Installationen und Performances begegnen Menschen ab acht Jahren Geistern und D monen. Mit Trickfilm, Robotik, Sound und Theatertechnik entstehen Momente, die das Publikum gruseln, überraschen und verwirren.", http://www.theaterdiscounter.de,2. Jan. 16:00,,mitte,"Theaterdiscounter, Klosterstra_e 44, ",10179,theater,Performance,0_Spookai
The Swingin' Hermlins,,Konzerthaus Berlin, ,,2. Jan. 16:00,,#N/A,Konzerthaus Berlin,,theater,Konzert,0_The Swingin' Hermlins
_berall ist besser als nichts! reloaded,,Die Stachelschweine," U berall ist besser als nichts“ ist ein Kaleidoskop des ta glichen (Corona-)Wahnsinns. Corona hat alles durcheinandergebracht. Plo tzlich verschwinden 1,9 Milliarden Euro auf den Philippinen, obwohl sie nie existiert haben!? Die  sparsamen Vier“ sind plo tzlich f f? Was ist das? Ein Fall f  die  d Drei Fragezeichen“? Wieso halten plo tzlich laut ZDF- Politbarometer 64 Prozent der Deutschen Markus So der f  einen geeigneten Kanzlerkandidaten? 64 Prozent?! So viele gucken doch gar nicht ZDF! Liegt das wirrklich alles an Corona? Die brandneue Fassung von  U berall ist besser als nichts“ geht den Dingen satirisch auf den Grund.", https://diestachelschweine.de/programm/produktion?tx_theatre_play%5Bplay%5D=7&cHash=af82a84299e58445979e3b5b7ea8d93c,2. Jan. 16:00,,charlottenburg,"Die Stachelschweine, Tauentzienstra_e 9 - 12, Europacenter,  ",10789,theater,Comedy & Kabarett,0__berall ist besser als nichts! reloaded
Ein Mord wird angekündigt,,Berliner Kriminal Theater,(A murder is announced / Scherz beiseite)Krimi-Klassiker von Agatha Christie Für die Bühne bearbeitet von Leslie Darbon bersetzung und deutsche Bühnenfassung von Ruth Mueller-Eisler und Rick Mueller, http://www.kriminaltheater.de/index.php?article_id=26,2. Jan. 16:00,,friedrichshain,"Berliner Kriminal Theater, Palisadenstra_e 48, ",10243,theater,Schauspiel,0_Ein Mord wird angekündigt
Kabarettistischer Jahresrückblick 2020,,Kom_die am Kurfürstendamm im Schiller Theater,"30. Dezember 2020 bis 10. Januar 2021 Geschichten, Songs und Parodien von und mit: Bov Bjerg, Horst Evers, Angela Merkel, Manfred Maurenbrecher, Christoph Jungmann, Hannes Heesch, Donald Trump, Christian Drosten und vielen mehr ...Brauereien jubeln: Fassbier-Umsatz auf Allzeithoch!Tourismusboom: BER überlastet   Flugpl tze Gatow und Johannisthal werden wieder in Betrieb genommen!Lehrerverb nde warnen: Computerisierung ist ein Irrweg!Trump: erst Friedensnobelpreis, dann Erdrutschsieg   Wie schafft er es, so bescheiden zu bleiben?Fu ball-EM: Deutschland in der Vorrunde gescheitert - L w:  Konzentrieren uns jetzt ganz auf die WM!“Olympia in Tokio: deutsche Sportler chancenlos. Sogar die Dressurreiter!R tsel um Markus S der: Wann bricht er sein Schweigen?Fast schon vergessen: Wie China ein neuartiges Virus ganz nebenbei ausrottete!Bizarres Virologen-Lamento: Talkshows ignorieren uns!", https://www.komoedie-berlin.de/produktionen/kabarettistischer-jahresrueckblick-2020.html,2. Jan. 16:00,,charlottenburg,"Kom_die am Kurfürstendamm im Schiller Theater, Bismarckstra_e 110, ",10625,theater,Comedy & Kabarett,0_Kabarettistischer Jahresrückblick 2020
